Id,Url,ImageUrl,Name,Symbol,CoinName,FullName,Algorithm,ProofType,FullyPremined,TotalCoinSupply,BuiltOn,SmartContractAddress,PreMinedValue,TotalCoinsFreeFloat,SortOrder,Sponsored,IsTrading,TotalCoinsMined,BlockNumber,NetHashesPerSecond,BlockReward,BlockTime
5294,/coins/007/overview,/media/350595/007.png,007,007,007 coin,007 coin (007),Scrypt,PoW,0,989800,N/A,N/A,N/A,N/A,263,False,True,,,,,
877383,/coins/0xbtc/overview,/media/32655871/0xbtc.jpg,0xBTC,0XBTC,0xBitcoin,0xBitcoin (0xBTC),N/A,N/A,0,21000000,7605,0xb6ed7644c69416d67b522e20bc294a9a9b405b31,N/A,N/A,2691,False,True,20999983.69,0.0,0,0.0,0.0
913090,/coins/0xdiary/overview,/media/34155551/0xdiary.jpg,0xDIARY,0xDIARY,The 0xDiary Token,The 0xDiary Token (0xDIARY),N/A,N/A,0,1000000,7605,N/A,N/A,N/A,2961,False,False,,,,,
20824,/coins/1337/overview,/media/35520987/elite.png,1337,1337,EliteCoin,EliteCoin (1337),X13,PoW/PoS,0,314159265359,N/A,N/A,N/A,N/A,577,False,True,29167288840.6058,0.0,0,0.0,60.0
5406,/coins/1cr/overview,/media/20175/1cr.png,1CR,1CR,1Credit,1Credit (1CR),Scrypt,PoW,0,92000000000,N/A,N/A,N/A,N/A,374,False,True,88213.0,0.0,0,0.0,0.0
28328,/coins/1st/overview,/media/351524/1st.png,1ST,1ST,FirstBlood,FirstBlood (1ST),N/A,N/A,1,93468691,7605,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,N/A,N/A,759,False,True,85558363.5601358,0.0,0,0.0,0.0
925200,/coins/1wo/overview,/media/34478178/1world.png,1WO,1WO,1World,1World (1WO),N/A,N/A,0,37219452.96,7605,0xfdbc1adc26f0f8f8606a5d63b7d3a3cd21c22b23,N/A,N/A,3245,False,True,37219452.96,0.0,0,0.0,0.0
3744,/coins/2015/overview,/media/20180/2015.png,2015,2015,2015 coin,2015 coin (2015),X11,PoW/PoS,0,0,N/A,N/A,N/A,N/A,33,False,True,,,,,
30912,/coins/2bacco/overview,/media/351869/2bacco.png,2BACCO,2BACCO,2BACCO Coin,2BACCO Coin (2BACCO),Scrypt,PoW/PoS,0,81454545,N/A,N/A,N/A,N/A,874,False,True,,,,,
20910,/coins/2give/overview,/media/350986/2give.png,2GIVE,2GIVE,2GiveCoin,2GiveCoin (2GIVE),Scrypt,PoW/PoS,0,N/A,N/A,N/A,N/A,N/A,587,False,True,0.0,0.0,0,0.0,150.0
